,zona,area_quartos,enderecos_lista,aluguel
0,norte,70 m² construídos1 quarto,"Nobrega De Souza Coutinho 05, Jardim Peri, São Paulo Zona Norte, São Paulo",600
1,norte,80 m² construídos2 quartos,"Rua José Eduardo Raduan 5, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1.299
2,norte,50 m² construídos1 quarto,"Rua Campo Belo Do Sul 113, Parque Vitória, São Paulo Zona Norte, São Paulo",1.000
3,norte,56 m² construídos2 quartos,"Narita, Jardim Japão, São Paulo Zona Norte, São Paulo",1.300
4,norte,140 m² construídos3 quartos,"João Miranda De Moura 22, Tremembé, São Paulo Zona Norte, São Paulo",1.950
5,norte,50 m² construídos1 quarto,"Rua João Ricardo 116, Jardim Peri, São Paulo Zona Norte, São Paulo",700
6,norte,70 m² construídos2 quartos,"Presidente Jânio Da Silva Quadros, Jardim Japão, São Paulo Zona Norte, São Paulo",1.200
7,norte,50 m² construídos1 quarto,"Brandão Agrões 176, Jardim Peri, São Paulo Zona Norte, São Paulo",799
8,norte,50 m² construídos2 quartos,"Dr. José Gustavo Nunes 8, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",920
9,norte,30 m² construídos1 quarto,"Rua Rodolfo Bardela 335, Brasilândia, São Paulo Zona Norte, São Paulo",590
10,norte,65 m² construídos2 quartos,"Yedo, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1.700
11,norte,45 m² construídos1 quarto,"Pedro Osorio Filho  533, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",999
12,norte,110 m² construídos2 quartos,"Conceição, Jardim Japão, São Paulo Zona Norte, São Paulo",2.200
13,norte,70 m² construídos2 quartos,"Lucerna, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.800
14,norte,100 m² construídos2 quartos,"Rua Monte Douro,
                82-, Tucuruvi, São Paulo Zona Norte, São Paulo",2.800
15,norte,42 m² construídos2 quartos,"Parque Peruche, São Paulo Zona Norte, São Paulo",950
16,norte,40 m² construídos1 quarto,"Casa Verde Alta, São Paulo Zona Norte, São Paulo",780
17,norte,45 m² construídos2 quartos,"Casa Verde Alta, São Paulo Zona Norte, São Paulo",950
18,norte,160 m² construídos4 quartos,"Rua União Federativa, Jardim Regina, São Paulo Zona Norte, São Paulo",4.000
19,norte,220 m² construídos2 quartos,"R Santo Egídio, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.500
20,norte,50 m² construídos3 quartos,"Rua Irmã Filomena 00, Tucuruvi, São Paulo Zona Norte, São Paulo",1.600
21,norte,70 m² construídos2 quartos,"Vila Dionisia, São Paulo Zona Norte, São Paulo",1.440
22,norte,200 m² construídos3 quartos,"Avenida Gaspar Vaz Da Cunha, Vila Prado, São Paulo Zona Norte, São Paulo",2.000
23,norte,90 m² totais1 quarto,"Jardim Lider, São Paulo Zona Norte, São Paulo",900
24,norte,88 m² construídos,"Rua Matilde Macedo Soares, 12 Casa 04, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.800
25,norte,30 m² construídos1 quarto,"Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",900
26,norte,40 m² totais1 quarto,"Avenida Mazzei, 500, Vila Mazzei, São Paulo Zona Norte, São Paulo",990
27,norte,42 m² totais1 quarto,"Rua Candeeiro, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",990
28,norte,100 m² construídos2 quartos,"Vila Zat, São Paulo Zona Norte, São Paulo",1.000
29,norte,40 m² construídos1 quarto,"Vila Teresinha, São Paulo Zona Norte, São Paulo",600
30,norte,44 m² construídos2 quartos,"Rua Antônio Clemente, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.400
31,norte,145 m² construídos3 quartos,"Vila Guilherme, São Paulo Zona Norte, São Paulo",10.000
32,norte,110 m² construídos3 quartos,"Jardim Peri, São Paulo Zona Norte, São Paulo",20
33,norte,40 m² construídos1 quarto,"Jardim São José (zona Norte), São Paulo Zona Norte, São Paulo",1.000
34,norte,70 m² construídos2 quartos,"Casa Verde Média, São Paulo Zona Norte, São Paulo",1.350
35,norte,50 m² construídos2 quartos,"Vila Teresinha, São Paulo Zona Norte, São Paulo",750
36,norte,456 m² construídos3 quartos,"Rua Manuel Luna, Vila Albertina, São Paulo Zona Norte, São Paulo",9.500
37,norte,"3,000 m² construídos5 quartos","-, Jardim Peri, São Paulo Zona Norte, São Paulo",30.000
38,norte,750 m² construídos7 quartos,"Avenida Basiléia, Lauzane Paulista, São Paulo Zona Norte, São Paulo",5.800
39,norte,416 m² construídos4 quartos,"Água Fria, São Paulo Zona Norte, São Paulo",8.000
40,norte,240 m² construídos3 quartos,"Avenida Leôncio De Magalhães, Jardim São Paulo, São Paulo Zona Norte, São Paulo",4.000
41,norte,500 m² construídos3 quartos,"Jardim Peri, São Paulo Zona Norte, São Paulo",4.650
42,norte,130 m² construídos3 quartos,"Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",3.000
43,norte,160 m² construídos3 quartos,"Rua Ana Benvinda De Andrade, Santana, São Paulo Zona Norte, São Paulo",3.200
44,norte,140 m² construídos3 quartos,"Rua Eurico Sodré, Vila Medeiros, São Paulo Zona Norte, São Paulo",2.300
45,norte,30 m² construídos1 quarto,"Lauzane Paulista, São Paulo Zona Norte, São Paulo",900
46,norte,120 m² construídos3 quartos,"Jardim Maristela, São Paulo Zona Norte, São Paulo",2.500
47,norte,70 m² construídos1 quarto,"Parque Panamericano, São Paulo Zona Norte, São Paulo",900
0,norte,120 m² construídos3 quartos,"Rua Icamaquã, Tremembé, São Paulo Zona Norte, São Paulo",3.000
1,norte,570 m² construídos5 quartos,"Rua Leão Xiii, Jardim São Bento, São Paulo Zona Norte, São Paulo",9.000
2,norte,200 m² construídos3 quartos,"Rua Severa, Vila Maria, São Paulo Zona Norte, São Paulo",4.500
3,norte,100 m² construídos,"Vila Pereira Cerca, São Paulo Zona Norte, São Paulo",1.900
4,norte,230 m² construídos2 quartos,"Rua Martins Júnior, Chácara Nossa Senhora Aparecida, São Paulo Zona Norte, São Paulo",3.000
5,norte,127 m² construídos2 quartos,"Vila Paiva, São Paulo Zona Norte, São Paulo",3.000
6,norte,200 m² construídos3 quartos,"Rua Abreu Sampaio, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.850
7,norte,120 m² construídos4 quartos,"Rua Manuel Pinheiro, Vila Mangalot, São Paulo Zona Norte, São Paulo",3.000
8,norte,200 m² construídos2 quartos,"Alameda Afonso Schmidt, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.750
9,norte,55 m² construídos2 quartos,"Jardim Monjolo, São Paulo Zona Norte, São Paulo",900
10,norte,50 m² construídos1 quarto,"Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.500
11,norte,170 m² construídos3 quartos,"Rua  Maria Medeiros, Casa Verde, São Paulo Zona Norte, São Paulo",4.500
12,norte,60 m² construídos1 quarto,"Vila América, São Paulo Zona Norte, São Paulo",950
13,norte,40 m² construídos1 quarto,"Rua Alcides Godói, Mandaqui, São Paulo Zona Norte, São Paulo",950
14,norte,50 m² construídos2 quartos,"Rua Professor Gama Cerqueira, Vila Santista, São Paulo Zona Norte, São Paulo",850
15,norte,300 m² construídos4 quartos,"Rua Miguel Gonçalves Dos Reis, Sítio Morro Grande, São Paulo Zona Norte, São Paulo",4.000
16,norte,150 m² construídos2 quartos,"R Lagoa Verde, Vila Paulicéia, São Paulo Zona Norte, São Paulo",2.200
17,norte,200 m² construídos2 quartos,"Al Afonso Schmidt, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.200
18,norte,300 m² construídos3 quartos,"R Imaculada, Jardim Do Colégio (zona Norte), São Paulo Zona Norte, São Paulo",3.200
19,norte,100 m² construídos2 quartos,"Av Casa Verde, Casa Verde, São Paulo Zona Norte, São Paulo",2.000
20,norte,150 m² construídos4 quartos,"Cascata Alegre, Vila Espanhola, São Paulo Zona Norte, São Paulo",4.200
21,norte,300 m² construídos3 quartos,"Rua Imaculada, Jardim Do Colégio (zona Norte), São Paulo Zona Norte, São Paulo",3.200
22,norte,160 m² construídos,"R Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",3.000
23,norte,75 m² construídos1 quarto,"Vila Prado, São Paulo Zona Norte, São Paulo",1.100
24,norte,120 m² construídos2 quartos,"Jardim Maracanã, São Paulo Zona Norte, São Paulo",2.000
25,norte,350 m² construídos3 quartos,"Rua Coronel Octávio Azeredo, Vila Mazzei, São Paulo Zona Norte, São Paulo",4.200
26,norte,125 m² construídos2 quartos,"Jardim Peri, São Paulo Zona Norte, São Paulo",1.250
27,norte,153 m² construídos3 quartos,"R Filipe Bandeira, Vila Maria Alta, São Paulo Zona Norte, São Paulo",3.100
28,norte,105 m² construídos3 quartos,"Jardim Primavera (zona Norte), São Paulo Zona Norte, São Paulo",2.200
29,norte,30 m² totais1 quarto,"Jardim São José (zona Norte), São Paulo Zona Norte, São Paulo",850
30,norte,100 m² construídos2 quartos,"Estr. Do Congo, Jardim Pirituba, São Paulo Zona Norte, São Paulo",1.200
31,norte,50 m² totais2 quartos,"Aguia, Jardim Peri, São Paulo Zona Norte, São Paulo",1.200
32,norte,568 m² construídos5 quartos,"Rua Montesano, Barro Branco, São Paulo Zona Norte, São Paulo",6.000
33,norte,142 m² construídos2 quartos,"Rua Bernardino De Sena, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",2.990
34,norte,192 m² construídos,"Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",2.500
35,norte,50 m² construídos1 quarto,"Limão, São Paulo Zona Norte, São Paulo",620
36,norte,30 m² construídos1 quarto,"Casa Verde Alta, São Paulo Zona Norte, São Paulo",650
37,norte,30 m² construídos1 quarto,"Casa Verde Alta, São Paulo Zona Norte, São Paulo",650
38,norte,50 m² construídos1 quarto,"R Guanapus, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",1.150
39,norte,120 m² construídos2 quartos,"R Irineu Morato, Casa Verde Alta, São Paulo Zona Norte, São Paulo",1.950
